date;qobs;p;epot;temp;ss;u;l;saturation;qs;ep;qif;pn;qof;ea;g;dl;qr1;qr2;bf;qsim
23-05-1971;10,4;0;3,316129032;11,5;0;0;41,40935076;0,428296368;0;0;0;0;0;1,420286019;0;0;0,008196601;0,008196601;0,779895488;9,6231152
24-05-1971;10,35;0;3,316129032;9,8;0;0;40,03616325;0,414093508;0;0;0;0;0;1,373187502;0;0;0,00497149;0,00497149;0,778337256;9,564707478
25-05-1971;10,35;0;3,316129032;7,9;0;0;38,70851242;0,400361633;0;0;0;0;0;1,327650833;0;0;0,003015361;0,003015361;0,776782137;9,521832869
26-05-1971;10,3;0;3,316129032;8,6;0;0;37,4248882;0,387085124;0;0;0;0;0;1,283624218;0;0;0,001828909;0,001828909;0,775230125;9,488394451
27-05-1971;10,35;0;3,316129032;11,8;0;0;36,18383062;0,374248882;0;0;0;0;0;1,241057583;0;0;0,001109289;0,001109289;0,773681214;9,460694225
28-05-1971;9,85;0;3,316129032;14,4;0;0;34,98392811;0,361838306;0;0;0;0;0;1,199902512;0;0;0,000672818;0,000672818;0,772135398;9,436489211
29-05-1971;10,4;5,06;3,316129032;12;0;5;33,88044453;0,349839281;0;0;0;0,06;0,003371384;1,160112196;0;0,056628616;0,001734621;0,001734621;0,77059267;9,43061681
30-05-1971;12,5;15,42;3,316129032;12,6;0;5;45,35428883;0,338804445;0;3,316129032;0;12,10387097;0,630026661;0;0;11,47384431;0,248948275;0,248948275;0,769053025;12,4304557
31-05-1971;11,8;0;3,316129032;15;0;1,683870968;45,35428883;0,453542888;0;3,316129032;0;0;0;0;0;0;0,150994762;0,150994762;0,767516456;11,2156173
01-06-1971;11,4;0;3,376666667;18,1;0;0;43,82282568;0,453542888;0;1,683870968;0;0;0;1,531463153;0;0;0,091582952;0,091582952;0,765982957;10,47143559
02-06-1971;10,8;0,75;3,376666667;17,6;0;0,75;42,34307493;0,438228257;0;0;0;0;0;1,479750747;0;0;0,055547869;0,055547869;0,764452522;10,01273626
03-06-1971;10,35;0;3,376666667;16,4;0;0;40,91329044;0,423430749;0;0,75;0;0;0;1,429784497;0;0;0,033691485;0,033691485;0,762925145;9,727205385
04-06-1971;10,05;1,33;3,376666667;16,9;0;1,33;39,531785;0,409132904;0;0;0;0;0;1,381505441;0;0;0,020434919;0,020434919;0,76140082;9,546721114
