date,p,t,epot,q
1979-12-25,6.25,2.2,0.3166666666666666,2.008083412322275
1979-12-26,0.48,2.7,0.3166666666666666,2.1104530805687207
1979-12-27,0.61,2.6,0.3166666666666666,2.0932549763033177
1979-12-28,15.12,2.7,0.3166666666666666,2.3299336492890994
1979-12-29,15.56,2.7,0.3166666666666666,3.5781065402843604
1979-12-30,3.17,1.4,0.3166666666666666,4.018705592417062
1979-12-31,0.42,1.0,0.3166666666666666,3.325949573459716
1980-01-01,0.27,-0.4,0.25,2.613292890995261
1980-01-02,1.11,-2.3,0.25,2.2005383886255925
1980-01-03,0.65,-5.0,0.25,1.9532132701421805
1980-01-04,0.0,-4.6,0.25,1.7566635071090049
1980-01-05,16.4,-2.5,0.25,1.692784834123223
1980-01-06,2.36,-0.2,0.25,1.7173535545023697
1980-01-07,0.0,-0.4,0.25,1.661664454976303
1980-01-08,1.24,-0.7,0.25,1.483950710900474
1980-01-09,2.16,-0.8,0.25,1.576492890995261
1980-01-10,2.48,-1.2,0.25,1.5846824644549764
1980-01-11,0.4,-1.4,0.25,1.5003298578199054
1980-01-12,0.07,-2.3,0.25,1.4700284360189575
1980-01-13,0.14,-1.6,0.25,1.4552872037914693
1980-01-14,0.0,0.7,0.25,1.5011488151658767
1980-01-15,2.79,1.7,0.25,1.5863203791469196
1980-01-16,0.23,-1.4,0.25,1.5019677725118483
1980-01-17,0.25,-0.6,0.25,1.4569251184834124
1980-01-18,0.34,0.6,0.25,1.4192530805687202
1980-01-19,0.0,-3.0,0.25,1.420072037914692
1980-01-20,0.0,-3.1,0.25,1.3684777251184836
1980-01-21,0.01,-1.9,0.25,1.3389952606635074
1980-01-22,5.83,-0.5,0.25,1.3914085308056872
1980-01-23,2.11,0.8,0.25,1.3463658767772513
1980-01-24,1.88,0.7,0.25,1.3832189573459717
1980-01-25,4.27,-3.1,0.25,1.3987791469194313
1980-01-26,0.18,-3.7,0.25,1.3463658767772513
1980-01-27,1.98,-3.5,0.25,1.2808492890995262
1980-01-28,0.42,-1.7,0.25,1.266108056872038
1980-01-29,0.12,0.5,0.25,1.309512796208531
1980-01-30,10.93,1.1,0.25,1.3684777251184836
1980-01-31,26.63,-2.8,0.25,1.7877838862559243
1980-02-01,30.2,-3.0,0.36,1.5650274881516588
1980-02-02,5.17,-4.8,0.36,1.4208909952606636
1980-02-03,3.39,-4.9,0.36,1.3242540284360191
1980-02-04,0.26,-7.2,0.36,1.3537364928909954
1980-02-05,0.0,-5.1,0.36,1.266108056872038
1980-02-06,0.0,-2.7,0.36,1.2161516587677723
1980-02-07,7.98,-2.5,0.36,1.2374445497630333
1980-02-08,12.38,-2.3,0.36,1.187488151658768
1980-02-09,13.91,-1.9,0.36,1.2374445497630333
1980-02-10,4.35,0.8,0.36,1.2947715639810429
1980-02-11,4.59,1.3,0.36,1.3832189573459717
1980-02-12,1.14,0.8,0.36,1.6903279620853082
1980-02-13,1.57,0.6,0.36,1.7550255924170617
1980-02-14,3.35,1.4,0.36,1.6903279620853082
1980-02-15,0.77,1.6,0.36,2.26196018957346
1980-02-16,0.76,1.8,0.36,2.569069194312797
1980-02-17,0.2,-0.3,0.36,2.661611374407583
1980-02-18,0.0,-0.2,0.36,2.26196018957346
1980-02-19,0.0,0.1,0.36,1.8606710900473933
1980-02-20,0.0,1.0,0.36,1.6903279620853082
1980-02-21,0.0,0.6,0.36,1.5879582938388626
1980-02-22,0.0,0.5,0.36,1.556837914691943
1980-02-23,0.0,-0.4,0.36,1.457744075829384
1980-02-24,0.0,-1.5,0.36,1.375029383886256
1980-02-25,0.0,-1.8,0.36,1.3897706161137442
1980-02-26,0.0,-0.8,0.36,1.3381763033175356
1980-02-27,0.18,0.4,0.36,1.309512796208531
1980-02-28,0.0,0.8,0.36,1.3103317535545025
1980-02-29,0.13,2.2,0.36,1.3324436018957346
1980-03-01,3.45,3.5,0.7799999999999999,1.6772246445497632
1980-03-02,1.79,2.2,0.7799999999999999,1.998255924170616
1980-03-03,5.26,-0.7,0.7799999999999999,1.791878672985782
1980-03-04,0.45,-0.3,0.7799999999999999,1.632181990521327
1980-03-05,0.13,0.6,0.7799999999999999,1.5158900473933652
1980-03-06,0.0,1.5,0.7799999999999999,1.4782180094786732
1980-03-07,4.15,1.5,0.7799999999999999,1.4716663507109005
1980-03-08,1.28,1.9,0.7799999999999999,1.627268246445498
1980-03-09,0.0,2.1,0.7799999999999999,1.5494672985781994
1980-03-10,0.15,1.9,0.7799999999999999,1.574036018957346
1980-03-11,0.0,1.4,0.7799999999999999,1.5126142180094786
1980-03-12,0.0,1.5,0.7799999999999999,1.452011374407583
1980-03-13,1.36,2.4,0.7799999999999999,1.5060625592417063
1980-03-14,0.0,0.6,0.7799999999999999,1.4610199052132702
